[2025-02-20 12:09:17] Packet detected: 192.168.1.36 -> 66.110.49.116 | Size: 66 bytes
[2025-02-20 12:09:18] Packet detected: 66.110.49.116 -> 192.168.1.36 | Size: 58 bytes
[2025-02-20 12:09:18] Packet detected: 192.168.1.36 -> 66.110.49.116 | Size: 54 bytes
[2025-02-20 12:09:18] Packet detected: 192.168.1.36 -> 66.110.49.116 | Size: 54 bytes
[2025-02-20 12:09:18] Packet detected: 66.110.49.116 -> 192.168.1.36 | Size: 54 bytes
[2025-02-20 12:09:18] Packet detected: 192.168.1.36 -> 66.110.49.116 | Size: 54 bytes
[2025-02-20 12:09:18] Packet detected: 192.168.1.36 -> 142.251.135.35 | Size: 55 bytes
[2025-02-20 12:09:18] Packet detected: 142.251.135.35 -> 192.168.1.36 | Size: 66 bytes
[2025-02-20 12:09:18] Packet detected: 192.168.1.36 -> 64.233.186.188 | Size: 55 bytes
[2025-02-20 12:09:18] Packet detected: 64.233.186.188 -> 192.168.1.36 | Size: 66 bytes
[2025-02-20 12:09:18] Packet detected: 192.168.1.36 -> 142.250.79.14 | Size: 55 bytes
[2025-02-20 12:09:18] Packet detected: 142.250.79.14 -> 192.168.1.36 | Size: 66 bytes
[2025-02-20 12:09:19] Packet detected: 192.168.1.36 -> 142.250.79.170 | Size: 55 bytes
[2025-02-20 12:09:19] Packet detected: 142.250.79.170 -> 192.168.1.36 | Size: 66 bytes
[2025-02-20 12:09:19] Packet detected: 192.168.1.36 -> 66.110.49.114 | Size: 315 bytes
[2025-02-20 12:09:19] Packet detected: 192.168.1.36 -> 66.110.49.114 | Size: 550 bytes
[2025-02-20 12:09:19] Packet detected: 66.110.49.114 -> 192.168.1.36 | Size: 109 bytes
[2025-02-20 12:09:19] Packet detected: 66.110.49.114 -> 192.168.1.36 | Size: 255 bytes
[2025-02-20 12:09:19] Packet detected: 192.168.1.36 -> 66.110.49.114 | Size: 54 bytes
[2025-02-20 12:09:19] Packet detected: 66.110.49.114 -> 192.168.1.36 | Size: 109 bytes
[2025-02-20 12:09:19] Packet detected: 66.110.49.114 -> 192.168.1.36 | Size: 231 bytes
[2025-02-20 12:09:19] Packet detected: 192.168.1.36 -> 66.110.49.114 | Size: 54 bytes
[2025-02-20 12:09:19] Packet detected: 192.168.1.36 -> 142.251.135.136 | Size: 55 bytes
[2025-02-20 12:09:19] Packet detected: 142.251.135.136 -> 192.168.1.36 | Size: 66 bytes
